,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,
色飾りタイル柄のラグ,120,90,120,130,90,130,0,0,0,,,,,,,,,,,
神託のブレス,135,105,189,135,105,189,0,0,0,,,,,,,,,,,
聖賢者のバングル,143,110,143,143,110,143,0,0,0,普,？,弱,？,強,普,最,,,,
パッチ柄のラグ,110,80,110,110,80,110,0,0,0,,,,,,,,,,,
レイブングローブ,120,80,150,120,80,150,0,0,0,,,,,,,,,,,
トーテムブレス,135,100,165,135,100,165,0,0,0,,,,,,,,,,,
フォーチュングラブ,170,125,145,125,145,170,0,0,0,,,,,,,,,,,
賢哲のうでわ,152,110,200,152,110,200,0,0,0,,,,,,,,,,,
武神の腕帯,140,110,170,110,140,170,0,0,0,,,,,,,,,,,
ヴァンガードグラブ,185,125,152,125,152,185,0,0,0,,,,,,,,,,,
クルーガーグローブ,175,152,125,125,175,152,0,0,0,,,,,,,,,,,
エトワールグローブ,130,107,225,130,107,225,0,0,0,,,,,,,,,,,
トライバルグローブ,140,110,170,110,140,170,0,0,0,,,,,,,,,,,
族長のアーム,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
カテドラルグローブ,105,195,130,105,195,130,0,0,0,,,,,,,,,,,
大怪傑のグローブ,144,144,185,144,144,185,0,0,0,普,？,弱,？,強,最,－,,,,
タンブラーリスト,115,160,150,115,160,150,0,0,0,,,,,,,,,,,
ソポスのうでわ,90,194,194,90,194,194,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
開祖のてぶくろ,80,200,240,80,240,200,0,0,0,,,,,,,,,,,
かぜのグローブ,90,140,200,90,140,200,0,0,0,,,,,,,,,,,
ひかりのグローブ,130,220,130,130,220,130,0,0,0,,,,,,,,,,,
ワンダラーズグラブ,180,140,130,180,130,140,0,0,0,強,弱,？,？,最,普,－,,,,
妖炎魔女のグローブ,150,160,220,150,160,220,0,0,0,強,弱,？,？,最,普,－,,,,
ロードリーグローブ,150,100,210,100,150,210,0,0,0,弱,？,？,最,普,強,－,,,,
空賊のグローブ,100,200,220,100,200,220,0,0,0,弱,？,？,最,普,強,－,,,,
聖翼のグローブ,140,90,250,90,140,250,0,0,0,弱,？,？,最,普,強,－,,,,
ふしぎなグローブ,70,250,180,70,180,250,0,0,0,,,,,,,,,,,
しっこくのグローブ,60,300,170,60,300,170,0,0,0,,,,,,,,,,,
スパングルグローブ,100,150,300,150,100,300,0,0,0,,,,,,,,,,,
乱破の手甲,280,100,160,100,280,160,0,0,0,,,,,,,,,,,
プロディトグローブ,330,330,100,100,100,200,0,0,0,,,,,,,,,,,
オスクトルグローブ,140,180,70,180,70,340,0,0,0,,,,,,,,,,,
隠密の手甲,160,100,190,350,120,290,0,0,0,,,,,,,,,,,
瑞雲のこて,270,380,240,150,120,180,0,0,0,,,,,,,,,,,
陰陽博士のてぶくろ,170,160,270,120,290,130,0,0,0,,,,,,,,,,,
烈風のグローブ,210,120,320,290,90,140,0,0,0,,,,,,,,,,,
妖精郷のうでわ,220,90,190,380,130,290,0,0,0,,,,,,,,,,,
アンテイクグローブ,140,350,130,190,90,230,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
皮のくつ,15,15,15,15,0,0,0,0,0,,,,,,,,,,,
前座芸人のながぐつ,15,15,15,15,0,0,0,0,0,,,,,,,,,,,
麻のくつ,15,15,15,15,0,0,0,0,0,,,,,,,,,,,
若手芸人のながぐつ,23,23,23,30,0,0,0,0,0,,,,,,,,,,,
ぬすっとのくつ,23,23,30,23,0,0,0,0,0,,,,,,,,,,,
いやしのブーツ,30,23,23,23,0,0,0,0,0,,,,,,,,,,,
きぬのサンダル,23,30,23,23,0,0,0,0,0,,,,,,,,,,,
しゅうれん用ブーツ,23,30,45,45,0,0,0,0,0,,,,,,,,,,,
サフランブーツ,30,45,45,23,0,0,0,0,0,,,,,,,,,,,
くすしのくつ,40,23,50,30,0,0,0,0,0,,,,,,,,,,,
初級魔法戦士のくつ,30,23,45,45,0,0,0,0,0,,,,,,,,,,,
ダンサーシューズ,40,23,30,50,0,0,0,0,0,,,,,,,,,,,
はやてのブーツ,45,45,45,60,0,0,0,0,0,,,,,,,,,,,
みかわしのくつ,45,30,60,60,0,0,0,0,0,,,,,,,,,,,
手品師のブーツ,23,23,75,75,0,0,0,0,0,,,,,,,,,,,
カンフーシューズ,45,45,75,90,0,0,0,0,0,,,,,,,,,,,
マタドールシューズ 再生布,45,30,90,90,0,0,0,0,0,,,,,,,,,,,
まじないしのくつ 再生布,75,45,60,75,0,0,0,0,0,,,,,,,,,,,
まもりのくつ,75,75,45,60,0,0,0,0,0,,,,,,,,,,,
けんぽうの脚帯 再生布,60,60,105,105,0,0,0,0,0,,,,,,,,,,,
まどうしのくつ 虹布,105,90,75,60,0,0,0,0,0,,,,,,,,,,,
かたりべのブーツ,75,75,90,90,0,0,0,0,0,,,,,,,,,,,
神官のくつ 再生布,75,90,90,75,0,0,0,0,0,,,,,,,,,,,
フェンサーブーツ,85,85,140,140,0,0,0,0,0,,,,,,,,,,,
司祭のブーツ 再生布,120,140,100,90,0,0,0,0,0,,,,,,,,,,,
きじゅつしのブーツ 虹布,95,130,130,95,0,0,0,0,0,,,,,,,,,,,
ホーリーブーツ,115,115,115,115,0,0,0,0,0,,,,,,,,,,,
水の脚帯,95,95,130,130,0,0,0,0,0,,,,,,,,,,,
マスターシューズ,150,100,150,100,0,0,0,0,0,,,,,,,,,,,
無法者のブーツ,100,100,150,150,0,0,0,0,0,,,,,,,,,,,
森人のながぐつ,90,90,75,75,0,0,0,0,0,,,,,,,,,,,
しんりのくつ,110,110,140,140,0,0,0,0,0,,,,,,,,,,,
王宮魔術師のくつ,200,152,152,200,0,0,0,0,0,,,,,,,,,,,
古代魔術のながぐつ,130,130,170,170,0,0,0,0,0,,,,,,,,,,,
古武道のブーツ,100,150,180,210,0,0,0,0,0,,,,,,,,,,,
月のくつ,120,120,180,180,0,0,0,0,0,,,,,,,,,,,
インテリサンダル,150,150,150,150,0,0,0,0,0,,,,,,,,,,,
木の葉のブーツ,60,45,75,75,0,0,0,0,0,,,,,,,,,,,
だいまどうのくつ,150,165,185,248,0,0,0,0,0,,,,,,,,,,,
歌詠みのくつ,185,155,155,185,0,0,0,0,0,,,,,,,,,,,
求道者のくつ,140,140,200,200,0,0,0,0,0,,,,,,,,,,,
原始獣のブーツ,170,170,130,130,0,0,0,0,0,,,,,,,,,,,
ステージブーツ,200,200,150,150,0,0,0,0,0,,,,,,,,,,,
大賢者のくつ,100,140,250,190,0,0,0,0,0,,,,,,,,,,,
ひつじのくつ,160,190,190,160,0,0,0,0,0,,,,,,,,,,,
さとりのくつ,240,240,145,145,0,0,0,0,0,,,,,,,,,,,
退魔のくつ,170,170,215,215,0,0,0,0,0,,,,,,,,,,,
レイブンブーツ,160,160,160,220,0,0,0,0,0,,,,,,,,,,,
タイフーンブーツ,140,140,280,210,0,0,0,0,0,,,,,,,,,,,
聖賢者のくつ,150,150,246,246,0,0,0,0,0,,,,,,,,,,,
黄龍のくつ,155,205,205,155,0,0,0,0,0,,,,,,,,,,,
古代王族のくつ,198,198,198,198,0,0,0,0,0,,,,,,,,,,,
精霊王のブーツ,209,209,209,209,0,0,0,0,0,,,,,,,,,,,
獄獣のくつ,165,165,215,215,0,0,0,0,0,,,,,,,,,,,
舞い手のくつ,178,240,240,178,0,0,0,0,0,,,,,,,,,,,
風虎のくつ,220,170,170,220,0,0,0,0,0,,,,,,,,,,,
信託のブーツ,185,185,244,244,0,0,0,0,0,,,,,,,,,,,
究明者のブーツ,215,215,215,215,0,0,0,0,0,,,,,,,,,,,
ステージシューズ,140,140,210,210,0,0,0,0,0,,,,,,,,,,,
アイドルブーツ,140,140,234,234,0,0,0,0,0,,,,,,,,,,,
チェイサーブーツ,130,210,210,130,0,0,0,0,0,,,,,,,,,,,
ミラクルブーツ,104,130,300,170,0,0,0,0,0,,,,,,,,,,,
クラウンシューズ,200,200,120,120,0,0,0,0,0,,,,,,,,,,,
トーテムサンダル,200,200,200,200,0,0,0,0,0,,,,,,,,,,,
フォーチュンブーツ,250,190,190,250,0,0,0,0,0,,,,,,,,,,,
巨商のサンダル,185,185,255,255,0,0,0,0,0,,,,,,,,,,,
賢哲のくつ,231,231,231,231,0,0,0,0,0,,,,,,,,,,,
武神の脚帯,185,185,235,235,0,0,0,0,0,,,,,,,,,,,
ヴァンガードブーツ,261,201,201,261,0,0,0,0,0,,,,,,,,,,,
クルーガーブーツ,200,200,252,252,0,0,0,0,0,,,,,,,,,,,
エトワールシューズ,203,203,259,259,0,0,0,0,0,,,,,,,,,,,
トライバルブーツ,210,210,210,210,0,0,0,0,0,,,,,,,,,,,
族長のブーツ,255,255,218,218,0,0,0,0,0,,,,,,,,,,,
カテドラルシューズ,215,215,215,215,0,0,0,0,0,,,,,,,,,,,
ポールスターのくつ,209,264,264,209,0,0,0,0,0,,,,,,,,,,,
大怪傑のブーツ,260,260,218,218,0,0,0,0,0,,,,,,,,,,,
タンブラークロッグ,150,150,275,275,0,0,0,0,0,,,,,,,,,,,
ソポスのサンダル,270,207,207,270,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
開祖のブーツ,260,260,260,260,0,0,0,0,0,,,,,,,,,,,
かぜのブーツ,270,270,165,165,0,0,0,0,0,,,,,,,,,,,
ひかりのブーツ,285,200,200,285,0,0,0,0,0,,,,,,,,,,,
ワンダラーズブーツ,260,260,190,190,0,0,0,0,0,強,弱,？,？,最,普,－,,,,
グレイスフルブーツ,200,200,290,290,0,0,0,0,0,強,弱,？,？,最,普,－,,,,
妖炎魔女のパンプス,225,225,300,300,0,0,0,0,0,強,弱,？,？,最,普,－,,,,
ロードリーブーツ,130,330,330,130,0,0,0,0,0,弱,？,？,最,普,強,－,,,,
空賊のブーツ,300,300,230,230,0,0,0,0,0,弱,？,？,最,普,強,－,,,,
聖翼のブーツ,300,300,190,190,0,0,0,0,0,弱,？,？,最,普,強,－,,,,
ふしぎなブーツ,350,350,180,180,0,0,0,0,0,,,,,,,,,,,
しっこくのブーツ,360,130,130,360,0,0,0,0,0,,,,,,,,,,,
スパングルパンプス,320,320,200,200,0,0,0,0,0,,,,,,,,,,,
乱破の脚半,150,370,370,260,0,0,0,0,0,,,,,,,,,,,
プロディトシューズ,130,210,360,300,0,0,0,0,0,,,,,,,,,,,
オスクトルブーツ,370,300,190,140,0,0,0,0,0,,,,,,,,,,,
隠密の脚半,460,250,170,420,0,0,0,0,0,,,,,,,,,,,
瑞雲の深沓,350,420,120,260,0,0,0,0,0,,,,,,,,,,,
陰陽博士のくつ,120,450,390,170,0,0,0,0,0,,,,,,,,,,,
烈風のブーツ,200,380,110,450,0,0,0,0,0,,,,,,,,,,,
妖精郷のブーツ,510,140,210,490,0,0,0,0,0,,,,,,,,,,,
アンテイクシューズ,120,250,470,360,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
